Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D3.4mm_W2.1mm_P2.50mm,11,100nF,
C12,CP_Radial_D4.0mm_P1.50mm,1,10uF,
C13,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,1nF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
"J1, J2",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,50,
U1,DIP-28_W15.24mm_Socket,1,W65C51NxP,
U10,DIP-16_W7.62mm_Socket,1,74HC283,
"U11, U6, U7, U8, U9",DIP-16_W7.62mm_Socket,5,74HC191,
U2,DIP-16_W7.62mm_Socket,1,74HC138,
U3,DIP-20_W7.62mm_Socket,1,74HC573,
"U4, U5",DIP-24_W7.62mm_Socket,2,ATF22V10,
