Designator,Mid X,Mid Y,Rotation,Layer
C1,144.99,-109.95,180.0,top
C10,170.02,-68.59,90.0,top
C11,138.6933,-68.6632,90.0,top
C12,149.762599,-111.08,0.0,top
C13,175.04,-81.89,180.0,top
C2,119.12,-111.86,90.0,top
C3,157.66,-74.94,180.0,top
C4,120.8,-105.41,0.0,top
C5,163.96,-105.42,0.0,top
C6,109.33,-117.27,0.0,top
C7,112.96,-70.56,180.0,top
C8,157.1583,-105.775,0.0,top
C9,180.44,-81.89,180.0,top
J1,133.51,-90.17,0.0,bottom
J2,148.75,-90.17,0.0,bottom
R1,177.57,-78.81,0.0,top
U1,138.59,-90.2,0.0,top
U10,157.72,-66.02,270.0,top
U11,125.9833,-66.0932,270.0,top
U2,130.97,-114.33,90.0,top
U3,155.09,-90.175,0.0,top
U4,123.35,-87.645,180.0,top
U5,166.53,-87.635,180.0,top
U6,111.92,-105.42,180.0,top
U7,111.9,-82.58,0.0,top
U8,164.7883,-113.425,90.0,top
U9,177.94,-95.27,0.0,top
